"name","quantity","price","description"
"TechCo Laptop","55","420.43","average"
"MobileMakers Smartphone","54","929.71","good"
"SoundTech Headphones","18","55.09","excellent"
"BrewMaster Coffee Maker","96","1112.25","good"
"KitchenKing Blender","53","169.16","poor"
"CleanHome Vacuum Cleaner","96","1112.25","average"
"CoolFridge Refrigerator","34","432.78","good"
"ViewPlus Television","78","1000.23","excellent"
"HeatWave Microwave Oven","23","222.22","average"
"ToastMaster Toaster","48","90.99","poor"
"AirCool Air Conditioner","67","789.56","excellent"
"PhotoSnap Camera","45","555.45","good"
"TimeTech Smartwatch","39","320.67","average"
"BoilFast Electric Kettle","25","250.50","excellent"
"TechCo Laptop","12","480.33","poor"
"MobileMakers Smartphone","56","1009.99","good"
"SoundTech Headphones","73","350.78","excellent"
"BrewMaster Coffee Maker","21","119.99","average"
"KitchenKing Blender","62","189.22","poor"
"CleanHome Vacuum Cleaner","42","500.44","good"
"CoolFridge Refrigerator","95","1200.00","excellent"
"ViewPlus Television","32","345.66","poor"
"HeatWave Microwave Oven","11","99.99","good"
"ToastMaster Toaster","53","110.50","average"
"AirCool Air Conditioner","83","800.23","excellent"
"PhotoSnap Camera","14","300.00","good"
"TimeTech Smartwatch","26","215.67","average"
"BoilFast Electric Kettle","48","180.99","excellent"
"TechCo Laptop","59","500.33","poor"
"MobileMakers Smartphone","40","900.00","good"
"SoundTech Headphones","29","75.45","excellent"
"BrewMaster Coffee Maker","19","130.22","average"
"KitchenKing Blender","81","199.99","poor"
"CleanHome Vacuum Cleaner","75","620.33","good"
"CoolFridge Refrigerator","64","1400.00","excellent"
"ViewPlus Television","25","450.45","poor"
"HeatWave Microwave Oven","10","80.80","good"
"ToastMaster Toaster","71","120.67","average"
"AirCool Air Conditioner","54","650.34","excellent"
